,time,item,ins,other,value
0,20-11-29 23:28,food,snacks,,сырок
1,20-11-29 23:28,drinks,tea,,1
2,20-11-30 1:27,drinks,tea,,1
3,20-11-30 1:28,food,snacks,,бутерброд-рыба
4,20-11-30 13:10,sleep,,,7
5,20-11-30 13:50,food,home,,бутерброды/торт
6,20-11-30 13:56,drinks,tea,,1
7,20-11-30 13:57,drinks,water,,1
8,20-11-30 18:06,drinks,water,,1
9,20-11-30 19:11,drinks,juice,,1
10,20-11-30 19:11,food,home,,манты/салат-помидоры
11,20-11-30 20:47,drinks,juice,,0.5
12,20-11-30 21:04,drinks,tea,,1
13,20-11-30 21:04,food,snacks,,торт
14,20-11-30 23:15,drinks,coffee,,1
15,20-11-30 23:15,food,cafe,,кесадилья-цыпленок
16,20-12-01 5:09,food,snacks,,банан
